
1 	Atlas, L 	NCCIH 	Neural and Psychological Mechanisms of Pain Perception 	15-AT-0132 
2 	Bushnell, M. 	NCCIH 	Effects of Transcranial Magnetic Stimulation (TMS) on Somatosensory Perception 	14-AT-0100 
3 	Bushnell, M. 	NCCIH 	Mechanisms of Pain Control in Chronic Pain Patients 	13-AT-0143 
4 	Shaw, P. 	NHGRI 	The Neurobehavioral, Environmental and Genetic Factors Impacting the Clinical Course of Attention Deficit Hyperactivity Disorder 	12-HG-0202 

17 	Li, S 	NIMH 	Development of Magnetic Resonance Spectroscopic Imaging Techniques for Imaging Metabolites and Neurotransmitters in Human Brain 	11-M-0045 
18 	Bonnemann, C.G. 	NINDS 	Clinical and Molecular Manifestations of Neuromuscular and Neurogenetic Disorders of Childhood 	12-N-0095 

21 	Duyn, J. H. 	NINDS 	An All-Night Functional Magnetic Resonance Imaging Sleep Study with Auditory Stimuli 	16-N-0031 
22 	Koretsky, A 	NINDS 	Functional Brain Imaging in Healthy Volunteers to Study Cognitive Function 	14-N-0002 
23 	Koretsky, A 	NINDS 	Characterization of Brain Morphology and Activity Using Functional and Anatomical MRI Contrast 	00-N-0082 
24 	Inati, S. 	NINDS 	Noninvasive Pre-surgical Evaluation Of Patients with Focal Epilepsy 	14-N-0061 
				
14 	Hall, K. 	NIDDK 	Selective Reduction of Dietary Carbohydrate Versus Fat: Effects on Metabolism, Endocrine Physiology, Brain Activity and Reward Circuitary 	09-DK-0081 

15 	Apud, J. A. 	NIMH 	Randomized, Double-Blinded, Placebo Controlled Study of the Effects of Modafinil on Cognitive Function is Patients with Schizophrenia and Normal Controls Based on COMT Genotype 	03-M-0143 
16 	Baker, C. I. 	NIMH 	fMRI Investigation of Cortical Reorganization and Phantom Limb Pain Following Amputation 	08-M-0052 
17 	Berman, KF 	NIMH 	Defining the Brain Pheontype of Children with Williams Syndrome 	10-M-0112 
18 	Berman, KF 	NIMH 	Structural and Functional Imaging of Neuropsychiatric Patients and Normal Volunteers with 3.0 Tesla MRI and Magnetoencephalography 	00-M-0085 
19 	Berman, KF 	NIMH 	A Neurobiological Investigation of Patients with Schzophrenia Spectrum Disorders and Their Siblings 	95-M-0150 
