protocol_id,prot_category
05-AA-0121,AA
08-AA-0137,AA
08-AA-0178,AA
10-AA-0046,AA
11-AA-0010,AA
12-AA-0032,AA
12-AA-0143,AA
13-AA-0043,AA
15-AA-0031,AA
15-AA-0127,AA
15-AA-0203,AA
16-AA-0037,AA
16-AA-0059,AA
16-AA-0080,AA
98-AA-0009,AA
98-AA-0056,AA
03-AR-0173,AR
14-AT-0054,AT
15-AT-0132,AT
01-C-0070,C
01-C-0157,C
01-C-0158,C
03-C-0241,C
03-C-0277,C
03-C-0278,C
03-C-0278E,C
06-C-0219,C
08-C-0079,C
10-C-0219,C
11-C-0047,C
11-C-0161,C
13-C-0152,C
99-C-0088,C
10-CC-0115,CC
10-CC-0118,CC
10-CC-0214,CC
11-CC-0120,CC
90-CC-0168,CC
91-CC-0117,CC
98-CC-0019,CC
00-CH-0093,CH
00-CH-0160,CH
11-CH-0239,CH
12-CH-0050,CH
98-CH-0081,CH
10-DC-0211,DC
92-DC-0178,DC
97-DC-0057,DC
11-DK-0168,DK
99-DK-0002,DK
03-E-0099,E
08-EI-0169,EI
16-EI-0090,EI
02-H-0050,H
07-H-0030,H
10-H-0126,H
13-H-0065,H
16-H-0144,H
94-H-0010,H
11-HG-0207,HG
15-HG-0130,HG
76-HG-0238,HG
94-HG-0105,HG
07-I-0033,I
09-I-0049,I
10-I-0148,I
14-I-0206,I
93-I-0106,I
93-I-0119,I
09-NR-0088,NR
